Title,IMDB Rating,Genre
7:19,5.9,"Drama, History"
23:59,4.6,Horror
9,7.1,"Animation, Action, Adventure"
21,6.8,"Crime, Drama, History"
46,7.4,"Short, Drama"
122,6.0,"Horror, Thriller"
187,N/A,"Short, Crime"
706,5.3,Thriller
1920,6.4,"Horror, Mystery, Romance"
1922,6.2,"Crime, Drama, Horror"
"2,215",7.8,Documentary
3022,4.5,Sci-Fi
Goli Soda 2,7.2,"Action, Drama"
Maj Rati Keteki,7.5,Drama
Mayurakshi,7.1,Drama
"¡Ay, mi madre!",3.8,Comedy
Çarsi Pazar,5.2,Comedy
Ég man þig,6.1,"Drama, Horror, Mystery"
Çok Filim Hareketler Bunlar,4.4,Comedy
Òlòturé,5.5,"Crime, Drama"
Æon Flux,5.5,"Action, Adventure, Sci-Fi"
1 Chance 2 Dance,4.8,"Drama, Family"
1 Mile to You,6.3,"Drama, Romance, Sport"
10 Days in Sun City,5.1,"Adventure, Comedy, Romance"
10 jours en or,5.9,"Comedy, Drama"
"10,000 BC",5.1,"Action, Adventure, Drama"
100 Meters,N/A,"Short, Drama"
100% Halal,6.6,Drama
12 Round Gun,4.7,"Drama, Sport"
13 Sins,6.3,"Horror, Thriller"
14 Cameras,4.6,"Crime, Drama, Horror"
16 Blocks,6.6,"Action, Drama, Thriller"
17 Again,6.4,"Comedy, Drama, Fantasy"
1BR,5.8,"Drama, Horror, Thriller"
1st Summoning,3.3,Horror
2 States,6.9,"Comedy, Drama, Romance"
2036 Origin Unknown,4.4,"Action, Sci-Fi, Thriller"
20th Century Women,7.3,"Comedy, Drama"
21,6.8,"Crime, Drama, History"
2307: Winter's Dream,3.8,Sci-Fi
24 Hours to Live,5.8,"Action, Sci-Fi, Thriller"
25 Kille,5.9,"Comedy, Drama"
26 Years,7.3,"Short, Drama, Sci-Fi"
27: El club de los malditos,3.6,"Action, Comedy, Crime"
27: Gone Too Soon,4.8,"Documentary, Music"
28 Days,6.1,"Comedy, Drama"
3 Days to Kill,6.2,"Action, Drama, Thriller"
3 Generations,6.0,Drama
3 Idiots,8.4,"Comedy, Drama"
3 Türken & ein Baby,5.5,Comedy
30 Minutes or Less,6.1,"Action, Comedy, Crime"
365 Days,4.7,"Drama, Romance"
40 Sticks,6.6,Thriller
42 Grams,7.0,"Documentary, Biography, Drama"
48 Christmas Wishes,4.0,"Adventure, Comedy, Family, Fantasy"
L4 Lupus,N/A,Drama
4th Republic,6.5,Thriller
5 Flights Up,6.2,"Comedy, Drama"
5 to 7,7.1,"Comedy, Drama, Romance"
50 First Dates,6.8,"Comedy, Drama, Romance"
50/50,7.6,"Comedy, Drama, Romance"
5cm,N/A,"Short, Drama, Music"
5Gang: Un Altfel de Craciun,1.8,"Action, Comedy"
6 Balloons,5.9,Drama
6 Days,6.2,"Action, Drama, History"
6 Underground,6.1,"Action, Thriller"
6 Years,5.6,"Drama, Romance"
6-5=2,5.9,"Horror, Thriller"
68 Kill,6.1,"Comedy, Crime, Romance"
